mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf
76,0.2280730170172614,-0.12234533368518176,-0.1306259464622776,-0.12234524943634445,-0.13062587256148198,117.96484375,117.96484375,0.782
77,0.22362544658305772,-0.12518430420099763,-0.13904243266675154,-0.12518432113498898,-0.13904246076854246,116.5329360961914,116.5329360961914,0.7708000000000005
78,0.2238326201567779,-0.1284169922707763,-0.1382943104662533,-0.1284167053151472,-0.13829399687565136,114.68331909179688,114.68330383300781,0.7846000000000003
79,0.2243898752573375,-0.13205298050453146,-0.14811943289100374,-0.1320529006321156,-0.14811937188353025,117.85342407226562,117.85342407226562,0.7848000000000004
80,0.2259130621099616,-0.13552787924008486,-0.14610397078286752,-0.1355280183113579,-0.14610410610542063,116.59666442871094,116.59666442871094,0.7694000000000002
81,0.22605515671921922,-0.1402657000840001,-0.15215999858688337,-0.14026581801438456,-0.1521601154194033,116.3949966430664,116.3949966430664,0.7816000000000002
82,0.2230955702406508,-0.14588551394348223,-0.15538374698671367,-0.14588550438804418,-0.1553837447760908,113.67639923095703,113.67639923095703,0.7731999999999996
83,0.22105626515798021,-0.14930346999913785,-0.15448949226373648,-0.1493035577705653,-0.15448958487321668,108.5065689086914,108.5065689086914,0.7745999999999996
84,0.22087581737621412,-0.15467423015528148,-0.15985632123710283,-0.15467413450112424,-0.15985621203056816,109.35027313232422,109.35028839111328,0.7733999999999995
85,0.22479744072075014,-0.16077487061588214,-0.16725976358364023,-0.16077486891321102,-0.1672597598174003,113.31159973144531,113.31159973144531,0.7768000000000005
86,0.22247931907126856,-0.1710822731706909,-0.1718132221148225,-0.17108243141879337,-0.17181338422093734,108.73249816894531,108.73249816894531,0.7714
87,0.22481194344368785,-0.17885241364636942,-0.17397709093629854,-0.17885240855474246,-0.17397708729211553,107.83763122558594,107.83763122558594,0.7643999999999994
