mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf
43,0.236250582400027,-0.02780429062653995,-0.061532452519265424,-0.027804271711329178,-0.06153244019024231,125.01274871826172,125.01274871826172,0.7795999999999995
44,0.23254643116627363,-0.021023948035665575,-0.06331783175815801,-0.021024078614081954,-0.063317955634161,124.29951477050781,124.29951477050781,0.7828000000000007
45,0.23241330625058654,-0.0370347599479481,-0.06617850260536613,-0.03703487687233527,-0.06617863822803755,117.04579162597656,117.04579162597656,0.7830000000000005
46,0.23349271665464302,-0.03751754874659712,-0.06807607107124206,-0.037517601907617826,-0.06807611779920424,122.34284973144531,122.34284973144531,0.7648000000000003
47,0.230027092827691,-0.02805209755127222,-0.06993308023468932,-0.028052160558148413,-0.06993310945619562,123.72393798828125,123.72393798828125,0.7761999999999997
48,0.23142413119296057,-0.04287695911569979,-0.07211935127354212,-0.0428770286916955,-0.07211942291220703,123.28279113769531,123.28279113769531,0.7643999999999994
49,0.22962077601893885,-0.04066412761382282,-0.07445493357965204,-0.04066411833527236,-0.07445493053885441,121.65724182128906,121.65724182128906,0.7742000000000003
50,0.23270258173212274,-0.048498734938950794,-0.07586182699558483,-0.04849877685889971,-0.07586189374359757,122.36568450927734,122.36568450927734,0.7714
51,0.22896465954479878,-0.03809445351976197,-0.07780969141735547,-0.03809442364393709,-0.07780967949498119,123.37052917480469,123.37051391601562,0.7715999999999996
52,0.22903260239609724,-0.049214102865275874,-0.07974888396176767,-0.04921430563936394,-0.0797490878453718,118.7542495727539,118.7542495727539,0.7841999999999995
53,0.2307509230421828,-0.04716051072508974,-0.08157963994778887,-0.04716052796535253,-0.08157965553023261,123.06182861328125,123.06181335449219,0.7788000000000003
54,0.22871070151572476,-0.047287160824535435,-0.08442868586258997,-0.04728724889372497,-0.08442886554949501,122.03517150878906,122.03517150878906,0.7657999999999996
55,0.22978788954359636,-0.051682764924591874,-0.08648177737452907,-0.0516827542374032,-0.08648178149092622,122.66621398925781,122.66621398925781,0.7747999999999998
56,0.22740092005457604,-0.054598593726904156,-0.08970225736085441,-0.05459847146910961,-0.08970211206801001,122.38923645019531,122.38923645019531,0.7595999999999997
57,0.22800938145176428,-0.05813950406959393,-0.09217928998522805,-0.058139743757787715,-0.09217953617147569,121.24224090576172,121.24222564697266,0.7692000000000004
58,0.22758310907953855,-0.06992371256443052,-0.09450643934526876,-0.06992368727734205,-0.09450641654856602,119.59439849853516,119.59439849853516,0.7639999999999997
59,0.22716548564555772,-0.06619063841991935,-0.09698218032529071,-0.0661905990591426,-0.09698212082475538,119.16155242919922,119.16155242919922,0.7756000000000004
60,0.22671607306769664,-0.0609386509360184,-0.09947102419132023,-0.060938442517728245,-0.09947080377593491,122.17706298828125,122.17706298828125,0.7848000000000004
61,0.22627094486454227,-0.06995390949596027,-0.10128555797319377,-0.0699542047979119,-0.10128586542590769,121.64264678955078,121.64264678955078,0.7830000000000005
62,0.22569164929089247,-0.07122641613461264,-0.10446455265128593,-0.07122624474044133,-0.10446439416282122,121.3947525024414,121.3947525024414,0.7759999999999999
63,0.22750499370219834,-0.08487863325554998,-0.10721180330004666,-0.08487878536721749,-0.10721194591237604,119.39266967773438,119.39266967773438,0.7694000000000002
64,0.22872301622911978,-0.08331816961962259,-0.10894460595939646,-0.0833181196115237,-0.10894455371373628,121.43603515625,121.43603515625,0.7728
65,0.22610306381821277,-0.07956680895445216,-0.11170123961215413,-0.07956692287304183,-0.11170135614574617,122.16126251220703,122.16126251220703,0.7823999999999994
66,0.22668693015525296,-0.0888840631711432,-0.11355071426443118,-0.08888391606775455,-0.11355056467882794,120.93312072753906,120.93312072753906,0.785
67,0.22607746066989842,-0.08785147399728382,-0.115533371993446,-0.08785154608344135,-0.11553342667904523,120.35702514648438,120.35702514648438,0.7722000000000006
68,0.22551194611970377,-0.09149424706175933,-0.11777561214425943,-0.09149429406727996,-0.11777566161480504,120.63093566894531,120.63093566894531,0.7814000000000004
69,0.2277636255945887,-0.09688631830508489,-0.12048620059690397,-0.0968866955731674,-0.12048655313462756,120.29249572753906,120.2925033569336,0.7576
70,0.22592964974251592,-0.09599839051138793,-0.12233534901437947,-0.09599828575252872,-0.12233525063853014,120.40943145751953,120.40943145751953,0.7784000000000004
71,0.22259776943080778,-0.09589046982887219,-0.125259093039834,-0.09589036689465262,-0.12525898653862802,118.25093841552734,118.25092315673828,0.7625999999999994
72,0.22321049229160803,-0.10358924361937734,-0.12861094860275368,-0.10358939221042784,-0.12861113869717283,118.3073501586914,118.3073501586914,0.7828000000000007
73,0.2219649191733237,-0.10220878352829339,-0.1317012431301603,-0.10220880067870608,-0.13170126080978098,117.98168182373047,117.98168182373047,0.779
74,0.2226518396142725,-0.11102599243473434,-0.13476536905224484,-0.11102593399658187,-0.13476530975536324,117.56025695800781,117.56025695800781,0.7715999999999996
75,0.22073986294033293,-0.10867518847146601,-0.1382327727135429,-0.10867511541669331,-0.13823269364556703,116.92704772949219,116.92704772949219,0.7726000000000003
76,0.22042458336632534,-0.11754780069567348,-0.1418999192168322,-0.11754777268973547,-0.14189991676685887,115.42245483398438,115.42245483398438,0.7864000000000003
77,0.221696527154596,-0.12444632634330569,-0.14525524097601167,-0.1244463872703552,-0.1452553047096024,115.2300033569336,115.22999572753906,0.7726000000000003
78,0.21954487751912072,-0.12167988819273136,-0.14767640664202553,-0.1216798241342889,-0.14767635785069963,114.95172882080078,114.95172882080078,0.7763999999999996
79,0.2193633987380936,-0.124590348061199,-0.15193185342582563,-0.12459043695875179,-0.15193191303586795,115.51512145996094,115.51512145996094,0.7772000000000003
80,0.21864025585644242,-0.12766861496462403,-0.15539087450125452,-0.12766881037382963,-0.1553910417549977,114.89637756347656,114.89637756347656,0.7781999999999992
81,0.21818922804640578,-0.12993208152152194,-0.15793802106156307,-0.12993217809172564,-0.15793811551163628,114.7414779663086,114.7414779663086,0.7687999999999996
82,0.2194700384283209,-0.13643468984767168,-0.1617702068419638,-0.13643473880654697,-0.1617702386322315,114.51848602294922,114.51847839355469,0.7894000000000003
83,0.21684478209899355,-0.13536588452193316,-0.163739505216629,-0.13536588781857203,-0.16373949576800162,114.38253784179688,114.38253784179688,0.7715999999999996
84,0.21971691692913617,-0.1517002759312045,-0.1676222262081061,-0.1517002735418255,-0.1676222053165416,109.52239227294922,109.52238464355469,0.7742000000000003
85,0.21672109655431798,-0.146098641595265,-0.17321537823406596,-0.14609856510750685,-0.17321530577227282,112.30470275878906,112.30470275878906,0.7652
86,0.2176840269529784,-0.1606687673834772,-0.18098207566774432,-0.16066881033022723,-0.18098211618300092,110.87187194824219,110.87185668945312,0.7848000000000004
87,0.21775628854562573,-0.16750379715250938,-0.18730354361484108,-0.16750392978829903,-0.18730367315304872,109.70272064208984,109.70272064208984,0.7606
