mask_no,layer,sparsity,sm,rm,sw,rw,t1m,t1w,perf
6,layer1.1.conv1,0.4981011284722222,0.32062915080806625,0.45850065696201436,0.32062915080806625,0.45850065696201436,104.44861,104.44861,0.7822
6,layer1.0.conv2,0.4980740017361111,0.3487270385138229,0.48678243694228535,0.3487270385138229,0.48678243694228535,104.82586,104.82586,0.7822
6,layer1.0.conv1,0.4092610677083333,0.40433701110678333,0.4470725288109648,0.40433701110678333,0.4470725288109648,98.41276,98.41276,0.7822
6,conv1,0.5,0.7475819781062338,0.606745938044851,0.7475819781062338,0.606745938044851,59.651295,59.651295,0.7822
6,layer3.0.conv1,0.18156602647569445,-0.1566529807588331,-0.18800977857843185,-0.1566532275265571,-0.18801001617099372,121.883896,121.883896,0.7822
6,layer3.0.conv2,0.12024943033854167,-0.3611510637690522,-0.4420958791325397,-0.3611510637690522,-0.4420958791325397,160.7035,160.7035,0.7822
6,layer2.3.conv2,0.2431098090277778,0.004437329215480471,0.15136982285986839,0.004437329215480471,0.15136982285986839,94.71177,94.71177,0.7822
6,layer3.1.conv1,0.1198238796657986,-0.36558555578952245,-0.3154160886179529,-0.36558555578952245,-0.3154160886179529,105.22534,105.22534,0.7822
6,layer4.2.conv2,0.027874416775173612,-0.22245735813405887,-0.381460207534409,-0.22245735813405887,-0.381460207534409,89.084785,89.084785,0.7822
6,layer4.2.conv1,0.05937533908420139,-0.39824920266110886,-0.4668411080966292,-0.39824920266110886,-0.4668411080966292,154.19687,154.19687,0.7822
6,layer4.1.conv2,0.01787779066297743,-0.06794906229469432,-0.2820834227668311,-0.06794906229469432,-0.2820834227668311,60.436375,60.436375,0.7822
6,layer4.1.conv1,0.0555360582139757,-0.3864978495767819,-0.44338152611950477,-0.3864978495767819,-0.44338152611950477,137.54637,137.54637,0.7822
6,layer4.0.downsample.0,0.5,1.2254723199096604,0.9027866610053757,1.2254689767693225,0.9027837453922753,254.7227,254.72272,0.7822
6,layer3.0.downsample.0,0.5,1.0581177322133986,0.8347518309619772,1.0581209873295538,0.8347546724903921,117.046074,117.04608,0.7822
6,layer4.0.conv1,0.08964792887369792,-0.4216154267715642,-0.4701442581915008,-0.42161503778510784,-0.47014390184259913,132.84227,132.84227,0.7822
6,layer3.5.conv2,0.12016126844618055,-0.29584539439639757,-0.20604071907017213,-0.29584481444667576,-0.20604006515630094,96.73148,96.73148,0.7822
6,layer4.0.conv2,0.0352677239312066,0.928534593378985,-0.03832305205060925,0.928534593378985,-0.03832305205060925,286.07556,286.07556,0.7822
6,layer3.4.conv2,0.1201663547092014,-0.3120572821232372,-0.22432727329122137,-0.3120572821232372,-0.22432727329122137,96.73733,96.73733,0.7822
6,layer3.4.conv1,0.12044609917534722,-0.22906985160752794,-0.13234563871046423,-0.22906985160752794,-0.13234563871046423,97.31442,97.31442,0.7822
6,layer3.3.conv2,0.12044779459635417,-0.3248185778687707,-0.24034233968825253,-0.3248185778687707,-0.24034233968825253,97.375374,97.375374,0.7822
6,layer3.3.conv1,0.12043931749131945,-0.21383923632609336,-0.11609551920988664,-0.21383953632633135,-0.11609585650928754,97.50329,97.50329,0.7822
6,layer3.2.conv2,0.1206020779079861,-0.33887036215433586,-0.26379801318719065,-0.3388704461490845,-0.26379810671967996,99.514984,99.514984,0.7822
6,layer3.2.conv1,0.12045966254340278,-0.28783408243181946,-0.21263133363816217,-0.2878336467192696,-0.2126308519155736,100.81834,100.81834,0.7822
6,layer3.1.conv2,0.1204189724392361,-0.39490610194248915,-0.33946461013744217,-0.39490573425427616,-0.33946423337762327,103.35504,103.35505,0.7822
6,layer3.5.conv1,0.12031724717881945,-0.2297591564978012,-0.13191173539779444,-0.2297567882163859,-0.1319090662621322,96.9423,96.9423,0.7822
7,layer2.0.conv1,0.368896484375,0.2251897305457452,0.27048939023500224,0.2251897305457452,0.27048939023500224,106.88433,106.88433,0.7716
7,layer2.2.conv1,0.24338785807291666,0.16145642937298857,0.0936975857825145,0.16145642937298857,0.0936975857825145,140.02449,140.02449,0.7716
7,layer2.1.conv2,0.24439832899305555,0.26215629692184667,0.166464607463064,0.26215629692184667,0.166464607463064,145.93791,145.93791,0.7716
7,layer2.1.conv1,0.2436252170138889,0.1891278066361845,0.11139243023711103,0.1891272393373442,0.11139190002359381,142.26355,142.26355,0.7716
