mask_no,layer,sparsity,sm,rm,sw,rw,t1m,t1w,perf,copeland_score,compatibility,overlap_coefs
77000,layer4.1.conv1,0.0199690924750434,-0.14864256648346227,-0.5804845697623726,-1.0,832511266123624.9,163.87444,2.5388354e-14,0.6062,0,0,0
77000,layer4.0.downsample.0,0.5,0.6961355049995547,0.6110672319634971,5.842565123275087,29.346015097863823,206.5838,10.43039,0.6062,0,0,0
77000,layer4.0.conv2,0.04622650146484375,0.44621012298467505,-0.10307591657446187,5.314829450456641,18.013978195599844,243.65129,11.294576,0.6062,0,0,0
77000,layer4.0.conv1,0.08879937065972222,0.20430699252607057,-0.07996392928921428,3.99193137731219,16.72408067205054,188.77065,9.693062,0.6062,0,0,0
77000,layer3.5.conv2,0.11906602647569445,-0.4757658347053134,-0.5561437019940623,-1.0,46901105206.22102,169.2133,1.4765287e-09,0.6062,0,0,0
77000,layer3.5.conv1,0.11916605631510417,-0.3021326667022644,-0.5031542478499343,-1.0,24532.899084907953,239.10352,0.002188616,0.6062,0,0,0
77000,layer3.4.conv2,0.119049072265625,-0.508322852788664,-0.6004677871543599,-1.0,3650591935.442081,183.59479,6.273529e-09,0.6062,0,0,0
77000,layer3.4.conv1,0.1195949978298611,-0.16007229461693911,-0.4184925090479099,-1.0,4703.849085687277,253.70522,0.013948302,0.6062,0,0,0
77000,layer3.3.conv2,0.1191067165798611,-0.38076071049264254,-0.5615403319102621,-1.0,2403181.0092620105,241.60365,2.5712405e-05,0.6062,0,0,0
77000,layer3.3.conv1,0.11931355794270833,0.21526905093042856,-0.17182225565117143,-1.0,1535.3138463599282,261.19815,0.03786451,0.6062,0,0,0
77000,layer3.2.conv2,0.11974080403645833,-0.3634793813871848,-0.5552927087164027,-1.0,235918.84437765257,249.45772,0.00044179615,0.6062,0,0,0
77000,layer3.2.conv1,0.119415283203125,0.11310714090085691,-0.2387031786288703,-1.0,1459.185111564266,259.5512,0.100762,0.6062,0,0,0
77000,layer3.1.conv2,0.11929151746961805,-0.38819161029701366,-0.5706016722146369,-1.0,7070.521866751705,246.26494,0.006509882,0.6062,0,0,0
77000,fc,0.5,0.44003619504775404,0.49252853746803443,3.158067733997284,12.482988288521566,123.77646,13.543663,0.6062,0,0,0
77000,layer3.0.downsample.0,0.5,0.3743342752124327,0.33038740998696153,3.8464095689010986,19.066586622321477,99.417694,6.3794503,0.6062,0,0,0
78000,fc,0.5,0.4472862068181452,0.49985573637424374,3.088669026221276,12.23227980408085,123.80709,13.592389,0.6046,0,0,0
78000,layer3.0.conv2,0.11891343858506945,-0.42532122934358746,-0.4771078533526736,1.1613419046725373,7.203385524925589,146.46463,9.359726,0.6046,0,0,0
