mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf,copeland_score,compatibility,overlap_coefs
14000,0.24635654025607634,-0.00204623606860523,-0.08247611415178113,2.4657841590550715,474.7835784098559,152.9857940673828,4.223597526550293,0.5894000000000001,0.0,0.0,0.0
15000,0.24507319819819817,-0.0021639193984565987,-0.08697412625678928,2.459505485137872,582.8103898802983,154.0421905517578,4.252854347229004,0.5854,0.0,0.0,0.0
16000,0.24401880670954149,0.0028802844797006246,-0.08632013814419823,2.3569981561698383,660.5542580626118,155.22174072265625,4.2565717697143555,0.5884,0.0,0.0,0.0
17000,0.24339601442262573,0.015371589870372019,-0.07883853482085743,2.229070818534985,748.1039631739453,156.35659790039062,4.279510021209717,0.5873999999999999,0.0,0.0,0.0
18000,0.24316973299593533,0.013956846431909933,-0.08252840425086037,1.8449517714270038,825.9488930959061,156.90325927734375,4.292304039001465,0.5968000000000004,0.0,0.0,0.0
19000,0.24218221899267428,0.018917493474202168,-0.07977981883824269,1.8420971052452138,898.3134992753484,157.35032653808594,4.292518615722656,0.5940000000000001,0.0,0.0,0.0
20000,0.24191285325242234,0.019682881031583305,-0.08023401061324144,1.8325543550535799,1173.3006215047565,157.3865509033203,4.305243015289307,0.5963999999999995,0.0,0.0,0.0
21000,0.24102725925388285,0.015191023137442822,-0.08610570879980178,1.820004863117302,1678.372852364659,157.22817993164062,4.300897598266602,0.5843999999999999,0.0,0.0,0.0
22000,0.23995372554561398,0.008115722081999528,-0.09394142242426565,1.7908156514354117,2029.216608896949,156.90342712402344,4.3021111488342285,0.5855999999999998,0.0,0.0,0.0
23000,0.23883073823946016,0.01130022206845135,-0.09227192604268546,1.8297681995531776,1915.6295887946185,157.32962036132812,4.299687385559082,0.591,0.0,0.0,0.0
24000,0.23820920606275214,0.016334830334143034,-0.0896973251563699,1.8052539344363967,2005.398030070222,158.12124633789062,4.315712928771973,0.5898000000000002,0.0,0.0,0.0
25000,0.23796948727902706,0.022828458208673488,-0.08485328727114132,1.8065665945514973,3831.0254951315046,158.2474365234375,4.312618732452393,0.5949999999999999,0.0,0.0,0.0
26000,0.23749101197755365,0.018123411874362973,-0.09006540253448476,1.817589083728823,4567.845133496541,158.1655731201172,4.337057113647461,0.5976,0.0,0.0,0.0
27000,0.23702327052394187,0.019020642456272607,-0.09039316338739627,1.7786442092091814,6516.65134959202,158.0504608154297,4.335351943969727,0.5961999999999997,0.0,0.0,0.0
28000,0.23651040566934117,0.01909041534175705,-0.09071446127072567,1.7858194145614144,9784.049142695112,157.80288696289062,4.356323719024658,0.5947999999999997,0.0,0.0,0.0
29000,0.235835651019672,0.023108894603958267,-0.08852712411664433,1.8191318444033362,17682.297142737207,157.6036376953125,4.343273162841797,0.6020000000000002,0.0,0.0,0.0
30000,0.23562169576192402,0.026507711350953856,-0.08602497298420736,1.7790955473957222,21277.697940987055,157.66436767578125,4.347078323364258,0.6023999999999997,0.0,0.0,0.0
31000,0.23549484848618146,0.026027137133383723,-0.08766891028509749,1.807114185193255,21539.698635848166,157.4435272216797,4.35313606262207,0.6082,0.0,0.0,0.0
32000,0.23538594059758,0.02616174887050505,-0.08829703208997369,1.783154625370725,41973.61176676783,157.35873413085938,4.365333557128906,0.5921999999999995,0.0,0.0,0.0
