mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf,copeland_score,compatibility,overlap_coefs
53,0.2307509230421828,-0.04716051072508974,-0.08157963994778887,-0.04716052796535253,-0.08157965553023261,123.06182861328125,123.06181335449219,0.7788000000000003,0.9109834154715409,0.8260257201422931,0.10479671668489945
54,0.22871070151572476,-0.047287160824535435,-0.08442868586258997,-0.04728724889372497,-0.08442886554949501,122.03517150878906,122.03517150878906,0.7657999999999996,0.9003583474739177,0.8159719105464784,0.10442428555948187
55,0.22978788954359636,-0.051682764924591874,-0.08648177737452907,-0.0516827542374032,-0.08648178149092622,122.66621398925781,122.66621398925781,0.7747999999999998,0.9152220540956871,0.8276156521149571,0.10335748071061097
56,0.22740092005457604,-0.054598593726904156,-0.08970225736085441,-0.05459847146910961,-0.08970211206801001,122.38923645019531,122.38923645019531,0.7595999999999997,1.779274058654099,0.81911378101081,0.10449173422343808
57,0.22800938145176428,-0.05813950406959393,-0.09217928998522805,-0.058139743757787715,-0.09217953617147569,121.24224090576172,121.24222564697266,0.7692000000000004,1.152602654755921,0.8389748186681084,0.09984125090487206
58,0.22758310907953855,-0.06992371256443052,-0.09450643934526876,-0.06992368727734205,-0.09450641654856602,119.59439849853516,119.59439849853516,0.7639999999999997,0.9374282995389925,0.8196269146781442,0.10216026808836395
59,0.22716548564555772,-0.06619063841991935,-0.09698218032529071,-0.0661905990591426,-0.09698212082475538,119.16155242919922,119.16155242919922,0.7756000000000004,0.9961916201219365,0.8268451932659461,0.10306202478079969
60,0.22671607306769664,-0.0609386509360184,-0.09947102419132023,-0.060938442517728245,-0.09947080377593491,122.17706298828125,122.17706298828125,0.7848000000000004,1.1048347759689834,0.8355486786540048,0.10313245929032759
61,0.22627094486454227,-0.06995390949596027,-0.10128555797319377,-0.0699542047979119,-0.10128586542590769,121.64264678955078,121.64264678955078,0.7830000000000005,1.6624343859887607,0.8202398809927199,0.10247675914561093
62,0.22569164929089247,-0.07122641613461264,-0.10446455265128593,-0.07122624474044133,-0.10446439416282122,121.3947525024414,121.3947525024414,0.7759999999999999,0.9848960080259556,0.8254544958244249,0.1026441969498867
63,0.22750499370219834,-0.08487863325554998,-0.10721180330004666,-0.08487878536721749,-0.10721194591237604,119.39266967773438,119.39266967773438,0.7694000000000002,1.8414731992257607,0.8316654976054799,0.09970715993499751
64,0.22872301622911978,-0.08331816961962259,-0.10894460595939646,-0.0833181196115237,-0.10894455371373628,121.43603515625,121.43603515625,0.7728,1.0477946835595209,0.829440973478048,0.10125158207492276
65,0.22610306381821277,-0.07956680895445216,-0.11170123961215413,-0.07956692287304183,-0.11170135614574617,122.16126251220703,122.16126251220703,0.7823999999999994,1.4719305394871816,0.8375601283930828,0.10112475661935767
66,0.22668693015525296,-0.0888840631711432,-0.11355071426443118,-0.08888391606775455,-0.11355056467882794,120.93312072753906,120.93312072753906,0.785,1.1755935972606815,0.8245432927352571,0.10201023652975284
67,0.22607746066989842,-0.08785147399728382,-0.115533371993446,-0.08785154608344135,-0.11553342667904523,120.35702514648438,120.35702514648438,0.7722000000000006,1.0453886255823277,0.8249740311199779,0.10180393426001684
68,0.22551194611970377,-0.09149424706175933,-0.11777561214425943,-0.09149429406727996,-0.11777566161480504,120.63093566894531,120.63093566894531,0.7814000000000004,1.1853563443732422,0.8365066443964407,0.10226547055630571
69,0.2277636255945887,-0.09688631830508489,-0.12048620059690397,-0.0968866955731674,-0.12048655313462756,120.29249572753906,120.2925033569336,0.7576,1.0533215806794327,0.8434882916383202,0.09775749467776072
70,0.22592964974251592,-0.09599839051138793,-0.12233534901437947,-0.09599828575252872,-0.12233525063853014,120.40943145751953,120.40943145751953,0.7784000000000004,1.205838405804054,0.8393405189490978,0.10157074249310863
71,0.22259776943080778,-0.09589046982887219,-0.125259093039834,-0.09589036689465262,-0.12525898653862802,118.25093841552734,118.25092315673828,0.7625999999999994,1.5172521376327888,0.8311328574628198,0.10328390023411044
72,0.22321049229160803,-0.10358924361937734,-0.12861094860275368,-0.10358939221042784,-0.12861113869717283,118.3073501586914,118.3073501586914,0.7828000000000007,1.206848054268473,0.8249685667929999,0.10118062893471486
73,0.2219649191733237,-0.10220878352829339,-0.1317012431301603,-0.10220880067870608,-0.13170126080978098,117.98168182373047,117.98168182373047,0.779,1.215406273416168,0.8470702251013543,0.10012791966250804
