mask_no,layer,sparsity,sm,rm,sw,rw,t1m,t1w,perf,copeland_score,compatibility,overlap_coefs
2,layer1.2.conv1,0.4981553819444444,0.3516035437962804,0.48285759811977635,0.3516035437962804,0.48285759811977635,105.8392,105.8392,0.7806,1.0446245670318604,1.0,0.061712628277507925
2,layer1.1.conv2,0.4979112413194444,0.3564123223554289,0.5127857999543808,0.3564123223554289,0.5127857999543808,102.399864,102.399864,0.7806,1.0695123672485352,1.0,0.048799912056321615
2,layer3.0.downsample.0,0.5,1.1248385672635608,0.8908852248632236,1.1248399637514832,0.8908864675921632,117.45717,117.45717,0.7806,0.2850581109523773,1.0,1.0
2,layer1.1.conv1,0.4244249131944444,0.40681247663993925,0.4774156185430392,0.40681247663993925,0.4774156185430392,98.30226,98.30226,0.7806,1.3731616735458374,1.0,0.06234828475716479
2,layer2.1.conv1,0.2436252170138889,0.03148976862956668,0.13196502707838265,0.03148976862956668,0.13196502707838265,103.4641,103.4641,0.7806,0.9791466593742371,0.5,0.0
2,layer3.1.conv1,0.1198238796657986,-0.2018198746575585,-0.10051524349158099,-0.2018198746575585,-0.10051524349158099,96.5641,96.5641,0.7806,1.0119819641113281,1.0,0.0
2,layer3.5.conv2,0.12016126844618055,-0.1333769715561956,-0.012235849471064209,-0.1333764535627415,-0.012235259069762411,94.6848,94.6848,0.7806,1.7037930488586426,0.625,0.0
2,layer3.2.conv1,0.12045966254340278,-0.11024551016225859,0.014691843797348827,-0.11024551016225859,0.014691843797348827,94.81586,94.81586,0.7806,1.0053454637527466,1.0,0.0
2,conv1,0.5,0.7731783246719903,0.6269933983333634,0.7731783246719903,0.6269933983333634,59.888454,59.888454,0.7806,0.8452070355415344,1.0,0.0
2,fc,0.5,0.6519883664162112,1.215400352946813,0.6519863865332723,1.215397227097532,45.883198,45.883217,0.7806,0.0,0.0,0.0
2,layer4.2.conv2,0.05959955851236979,-0.30369080740752186,-0.22210992583424222,-0.30369080740752186,-0.22210992583424222,97.72814,97.72814,0.7806,0.0,0.0,0.0
