mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf
18000,0.24538427358633053,-0.08484579147910115,-0.08435778091316674,2.0117256471372555,30484.19304621273,125.94296264648438,2.7591745853424072,0.7816000000000002
19000,0.24384947080869931,-0.09201779936022836,-0.09335043634589187,1.9519507285316717,50195.161719884614,125.8276138305664,2.772759199142456,0.7698
20000,0.2434971439945805,-0.0839950499600443,-0.08666301631168308,2.0051768044583804,82495.59366154262,125.69184112548828,2.773317337036133,0.7777999999999995
21000,0.2423609140756968,-0.08570943235210628,-0.08947104081437696,2.0045552547722973,135492.47075046756,125.53048706054688,2.7668893337249756,0.7777999999999995
22000,0.2420750752583639,-0.08446176642220635,-0.08990513650113549,1.9984900592832975,223038.17832472431,125.5989990234375,2.7827980518341064,0.7634000000000004
23000,0.2415655096013983,-0.07706708912770281,-0.08396026063264082,1.9655573734024936,368550.076224975,125.56058502197266,2.7781729698181152,0.7779999999999996
24000,0.24043442322327216,-0.07718840136379446,-0.08652668606871801,2.006405688700012,607313.9085288341,125.4480972290039,2.790088653564453,0.7696000000000003
25000,0.23980495235225466,-0.07674747842204685,-0.08693506407734386,1.9715429253796437,996306.0058507911,125.3503646850586,2.7857751846313477,0.7680000000000003
26000,0.2390549920342706,-0.07511857216968301,-0.08693214298320225,1.9602567527452421,1644457.796850879,125.33210754394531,2.8025081157684326,0.7714
27000,0.23895648578265768,-0.07040911944944427,-0.08333293736975604,1.998694871579709,2702582.686031135,125.35939025878906,2.805603265762329,0.7717999999999997
28000,0.2386524555561421,-0.06970389734984228,-0.08401377709137745,1.9997405823021892,4446904.074296277,125.38916015625,2.810950994491577,0.7774
29000,0.23841083515155786,-0.06635632960996699,-0.0822577909304761,2.019254750260957,7350483.493840334,125.43265533447266,2.80216383934021,0.7696000000000003
30000,0.23826496021167662,-0.05944425293706438,-0.07653405021489144,2.0360836934066198,12105821.277618047,125.42440795898438,2.8155417442321777,0.7772000000000003
31000,0.23805068419860292,-0.05909255862257814,-0.07663660768021778,2.017930122913399,19882727.494005077,125.34158325195312,2.803159475326538,0.7761999999999997
32000,0.23747489402244043,-0.05337788977836781,-0.07267693306864749,2.0337528819201607,32913142.968311027,125.24459075927734,2.809593915939331,0.7781999999999992
33000,0.236756734303884,-0.05515963615355039,-0.07584432926080759,2.034426642601723,54292844.527510814,125.11491394042969,2.8158209323883057,0.7795999999999995
34000,0.23637317966770482,-0.05152342081474024,-0.07410113993086181,2.002065237505992,89381580.12907052,125.08687591552734,2.8087923526763916,0.7802000000000003
35000,0.2359738507428327,-0.049377002881919464,-0.07267418777370699,1.9873167328503067,148162026.66361624,124.94799041748047,2.8113837242126465,0.7765999999999994
36000,0.23571896481442384,-0.05613607110697943,-0.08039019733494002,1.999875154968604,243629349.3054941,124.83467102050781,2.8154218196868896,0.7637999999999999
37000,0.2353225226874824,-0.05082512134026544,-0.07654436138092317,2.0264434983974895,401994189.94948685,124.77495574951172,2.8276054859161377,0.7749999999999996
38000,0.234889972675312,-0.048053965416534714,-0.07540760447069172,1.997784949744096,661967665.9505358,124.62105560302734,2.821310520172119,0.7779999999999996
39000,0.23425016890059003,-0.039209932759928894,-0.06730963942505455,2.0605421962395,1091575096.179901,124.37944793701172,2.835155963897705,0.7650000000000003
40000,0.23388340809681757,-0.03866341467288718,-0.06854376069439708,2.055944025371886,1794110200.8819497,124.32243347167969,2.823779582977295,0.7892000000000002
41000,0.23351323353993642,-0.03724648122525318,-0.06818463282767823,2.031922423751574,2915748507.1097827,124.2947769165039,2.8297040462493896,0.7804000000000001
42000,0.23323578018325944,-0.03309806432453416,-0.06644635628513203,2.028300028072212,4897192646.021712,124.30058288574219,2.8296492099761963,0.7606
43000,0.23297224531660565,-0.03132491725492633,-0.06550566811786275,2.072675632551358,8046978366.978827,124.19415283203125,2.8350467681884766,0.7735999999999993
44000,0.23265034443623311,-0.030830434497456437,-0.06630598227418241,2.0992475253503313,13301126728.742182,124.13777160644531,2.8313608169555664,0.7699999999999997
45000,0.23239802455042932,-0.0231050991063585,-0.06078808740429121,2.0938340993903366,21844266509.41947,124.0545654296875,2.8244271278381348,0.7733999999999995
46000,0.23192229858031865,-0.020216499239210393,-0.05991212602236922,2.0957380750573287,36143640241.38903,123.97162628173828,2.830043315887451,0.7678000000000004
47000,0.2313567038412925,-0.01798214026457509,-0.057803807858853154,2.1046970839934045,59703828015.17719,123.78904724121094,2.820136308670044,0.7701999999999994
48000,0.2309691970412796,-0.01939942595307703,-0.060991807466710464,2.1434694065919344,98318220414.41978,123.77640533447266,2.8361101150512695,0.7756000000000004
49000,0.23056636271892011,-0.014791263898744147,-0.058414419674332294,2.1340118838052784,162398982008.8013,123.6335220336914,2.83547043800354,0.7800000000000004
50000,0.23005118384375586,-0.006165699083481152,-0.05138562601595666,2.162694602378535,268103083997.61176,123.56832122802734,2.8210129737854004,0.7770000000000002
51000,0.22963664195201064,-0.01045115827954285,-0.057719173816849365,2.1182191919657973,442036965059.6897,123.5439224243164,2.823357105255127,0.7703999999999995
52000,0.22924094443564663,-0.007433172835119194,-0.05618119772012753,2.1406450208800423,729955207648.9105,123.4521255493164,2.839001178741455,0.7793999999999998
53000,0.22858010827600067,-0.003164943504678551,-0.05312296645461274,2.1611140740630113,1207959848912.3987,123.29137420654297,2.8276145458221436,0.7678000000000004
54000,0.2280881154286611,0.006181417207117821,-0.04723141420187756,2.1631273653444727,1990601956812.6772,123.29989624023438,2.8401544094085693,0.7754000000000004
55000,0.2274095575372736,0.011423078086302893,-0.04430634473473588,2.187761710413996,3284740228890.026,123.11920928955078,2.8342673778533936,0.7549999999999998
56000,0.22630862215975744,0.016224247676199184,-0.041507291329995845,2.1713936634464206,5432255111415.078,122.88351440429688,2.8309426307678223,0.7731999999999996
57000,0.22576926062414954,0.02198264464720416,-0.03764550987389114,2.1850085250846405,8929318642560.076,122.75593566894531,2.8210222721099854,0.7613999999999993
58000,0.22544198709207255,0.02562742051555118,-0.03679568228735797,2.2377921836400616,14766299735048.795,122.6349868774414,2.8179287910461426,0.7756000000000004
59000,0.2250971751170116,0.031224014238604898,-0.03309163854273195,2.199642314053314,23912222606027.664,122.4874267578125,2.833249092102051,0.7798000000000006
60000,0.22408119407860014,0.028603689401046777,-0.03675666822901681,2.154710336369739,40285273345659.6,122.15796661376953,2.8246352672576904,0.7733999999999995
61000,0.22377070292338241,0.019398328055825417,-0.04676030313902287,2.147570880038023,66242592525452.336,122.00691223144531,2.8276493549346924,0.7636000000000002
62000,0.22355767556496925,0.028565670021904233,-0.03868313191809971,2.1702295535383938,109265628062496.61,121.90396881103516,2.8245792388916016,0.7623999999999996
63000,0.22335485509923986,0.030870689941224848,-0.03739153072357858,2.1986338029816435,180006764586565.84,121.79309844970703,2.8272933959960938,0.7558000000000004
64000,0.22294182533974405,0.03159692922772589,-0.036657932508136995,2.1888731238520904,295667059351350.94,121.5776596069336,2.8304479122161865,0.7731999999999996
65000,0.22227606329474012,0.029702721381496332,-0.04037690022124677,2.092751027698007,489554924529385.0,121.36436462402344,2.8283865451812744,0.7620000000000003
66000,0.22147835625542533,0.03330926343257306,-0.037992018837546535,2.1492844405647826,806309012162774.6,121.20911407470703,2.826605796813965,0.7471999999999996
67000,0.22110787239876598,0.03921362429940067,-0.03381331452949732,2.1250826751111003,1338039071159103.2,121.0597152709961,2.8389196395874023,0.7858000000000008
68000,0.2199950576186538,0.03307260695560516,-0.041123378488470405,2.143295702586059,2172177960650139.2,120.4287109375,2.8131749629974365,0.7804000000000001
69000,0.21886181759762688,0.028863903041445687,-0.04621178600827759,2.0723353724355666,3591119918147526.5,119.8560791015625,2.8208701610565186,0.7710000000000005
70000,0.21795397692614493,0.03059514718847503,-0.045159895875784006,2.045747769527765,5853509387739649.0,119.3603286743164,2.814181089401245,0.7758000000000002
71000,0.21709049213397974,0.038527453976355805,-0.040837421683699505,2.1174241206718887,9511702608724632.0,118.8697738647461,2.8147222995758057,0.7744
72000,0.2161379175501185,0.03616757037761145,-0.04537525409873918,2.1169660987818366,1.5576201971365894e+16,118.3694076538086,2.8152871131896973,0.7825999999999995
73000,0.215259712379616,0.04504061233405077,-0.0405281767113642,2.0596823472418024,2.5564416378123404e+16,117.91246795654297,2.8157880306243896,0.7646000000000005
